Day,date,Interval,volume
Monday,08-12-2025,00:00,2.481700326
Monday,08-12-2025,00:30,3.72255049
Monday,08-12-2025,01:00,4.963400653
Monday,08-12-2025,01:30,4.342975571
Monday,08-12-2025,02:00,2.481700326
Monday,08-12-2025,02:30,3.970720522
Monday,08-12-2025,03:00,3.308933768
Monday,08-12-2025,03:30,2.481700326
Monday,08-12-2025,04:00,2.481700326
Monday,08-12-2025,04:30,3.72255049
Monday,08-12-2025,05:00,7.445100979
Monday,08-12-2025,05:30,4.254343416
Monday,08-12-2025,06:00,5.790634095
Monday,08-12-2025,06:30,4.13616721
Monday,08-12-2025,07:00,6.204250816
Monday,08-12-2025,07:30,13.95956434
Monday,08-12-2025,08:00,22.33530293
Monday,08-12-2025,08:30,32.88252932
Monday,08-12-2025,09:00,44.36039334
Monday,08-12-2025,09:30,47.77273129
Monday,08-12-2025,10:00,50.25443161
Monday,08-12-2025,10:30,58.94038275
Monday,08-12-2025,11:00,62.04250816
Monday,08-12-2025,11:30,51.49528177
Monday,08-12-2025,12:00,49.63400653
Monday,08-12-2025,12:30,55.5280448
Monday,08-12-2025,13:00,57.38932005
Monday,08-12-2025,13:30,58.00974512
Monday,08-12-2025,14:00,52.42591939
Monday,08-12-2025,14:30,49.32379398
Monday,08-12-2025,15:00,53.66676956
Monday,08-12-2025,15:30,49.32379398
Monday,08-12-2025,16:00,47.77273129
Monday,08-12-2025,16:30,47.1523062
Monday,08-12-2025,17:00,47.1523062
Monday,08-12-2025,17:30,40.94805539
Monday,08-12-2025,18:00,37.2255049
Monday,08-12-2025,18:30,29.15997883
Monday,08-12-2025,19:00,27.29870359
Monday,08-12-2025,19:30,22.33530293
Monday,08-12-2025,20:00,19.23317753
Monday,08-12-2025,20:30,11.16765147
Monday,08-12-2025,21:00,9.926801309
Monday,08-12-2025,21:30,13.6493518
Monday,08-12-2025,22:00,9.926801309
Monday,08-12-2025,22:30,9.572272688
Monday,08-12-2025,23:00,8.685951142
Monday,08-12-2025,23:30,7.445100979
Tuesday,09-12-2025,00:00,4.467060587
Tuesday,09-12-2025,00:30,4.342975571
Tuesday,09-12-2025,01:00,3.545286181
Tuesday,09-12-2025,01:30,4.963400653
Tuesday,09-12-2025,02:00,3.72255049
Tuesday,09-12-2025,02:30,4.13616721
Tuesday,09-12-2025,03:00,3.72255049
Tuesday,09-12-2025,03:30,4.13616721
Tuesday,09-12-2025,04:00,4.963400653
Tuesday,09-12-2025,04:30,4.963400653
Tuesday,09-12-2025,05:00,5.583825734
Tuesday,09-12-2025,05:30,4.342975571
Tuesday,09-12-2025,06:00,4.963400653
Tuesday,09-12-2025,06:30,4.608872034
Tuesday,09-12-2025,07:00,7.75531352
Tuesday,09-12-2025,07:30,13.95956434
Tuesday,09-12-2025,08:00,20.78424024
Tuesday,09-12-2025,08:30,23.88636564
Tuesday,09-12-2025,09:00,46.53188112
Tuesday,09-12-2025,09:30,44.98081841
Tuesday,09-12-2025,10:00,43.42975571
Tuesday,09-12-2025,10:30,44.36039334
Tuesday,09-12-2025,11:00,54.59740718
Tuesday,09-12-2025,11:30,50.87485669
Tuesday,09-12-2025,12:00,61.11187054
Tuesday,09-12-2025,12:30,56.76889497
Tuesday,09-12-2025,13:00,54.59740718
Tuesday,09-12-2025,13:30,57.07910751
Tuesday,09-12-2025,14:00,54.28719464
Tuesday,09-12-2025,14:30,52.73613193
Tuesday,09-12-2025,15:00,46.84209366
Tuesday,09-12-2025,15:30,47.77273129
Tuesday,09-12-2025,16:00,49.32379398
Tuesday,09-12-2025,16:30,46.84209366
Tuesday,09-12-2025,17:00,39.70720522
Tuesday,09-12-2025,17:30,34.74380457
Tuesday,09-12-2025,18:00,29.15997883
Tuesday,09-12-2025,18:30,27.29870359
Tuesday,09-12-2025,19:00,24.81700326
Tuesday,09-12-2025,19:30,20.47402769
Tuesday,09-12-2025,20:00,11.47786401
Tuesday,09-12-2025,20:30,15.20041449
Tuesday,09-12-2025,21:00,11.78807655
Tuesday,09-12-2025,21:30,12.05397301
Tuesday,09-12-2025,22:00,7.75531352
Tuesday,09-12-2025,22:30,8.508686833
Tuesday,09-12-2025,23:00,6.026986506
Tuesday,09-12-2025,23:30,6.381515125
Wednesday,10-12-2025,00:00,4.963400653
Wednesday,10-12-2025,00:30,4.13616721
Wednesday,10-12-2025,01:00,5.377017373
Wednesday,10-12-2025,01:30,4.963400653
Wednesday,10-12-2025,02:00,4.467060587
Wednesday,10-12-2025,02:30,2.481700326
Wednesday,10-12-2025,03:00,2.481700326
Wednesday,10-12-2025,03:30,3.72255049
Wednesday,10-12-2025,04:00,4.342975571
Wednesday,10-12-2025,04:30,2.481700326
Wednesday,10-12-2025,05:00,2.978040392
Wednesday,10-12-2025,05:30,4.963400653
Wednesday,10-12-2025,06:00,6.824675897
Wednesday,10-12-2025,06:30,4.653188112
Wednesday,10-12-2025,07:00,8.375738602
Wednesday,10-12-2025,07:30,12.40850163
Wednesday,10-12-2025,08:00,18.3025399
Wednesday,10-12-2025,08:30,30.400829
Wednesday,10-12-2025,09:00,39.70720522
Wednesday,10-12-2025,09:30,44.36039334
Wednesday,10-12-2025,10:00,49.63400653
Wednesday,10-12-2025,10:30,50.87485669
Wednesday,10-12-2025,11:00,47.77273129
Wednesday,10-12-2025,11:30,53.66676956
Wednesday,10-12-2025,12:00,51.80549431
Wednesday,10-12-2025,12:30,55.83825734
Wednesday,10-12-2025,13:00,54.59740718
Wednesday,10-12-2025,13:30,58.00974512
Wednesday,10-12-2025,14:00,47.1523062
Wednesday,10-12-2025,14:30,43.11954317
Wednesday,10-12-2025,15:00,41.25826793
Wednesday,10-12-2025,15:30,44.67060587
Wednesday,10-12-2025,16:00,41.25826793
Wednesday,10-12-2025,16:30,41.56848046
Wednesday,10-12-2025,17:00,37.84592998
Wednesday,10-12-2025,17:30,35.98465473
Wednesday,10-12-2025,18:00,27.60891613
Wednesday,10-12-2025,18:30,23.88636564
Wednesday,10-12-2025,19:00,24.81700326
Wednesday,10-12-2025,19:30,18.92296499
Wednesday,10-12-2025,20:00,14.57998942
Wednesday,10-12-2025,20:30,12.05397301
Wednesday,10-12-2025,21:00,12.40850163
Wednesday,10-12-2025,21:30,4.653188112
Wednesday,10-12-2025,22:00,6.452420848
Wednesday,10-12-2025,22:30,5.317929271
Wednesday,10-12-2025,23:00,7.134888438
Wednesday,10-12-2025,23:30,4.03276303
Thursday,11-12-2025,00:00,5.956080783
Thursday,11-12-2025,00:30,5.956080783
Thursday,11-12-2025,01:00,3.72255049
Thursday,11-12-2025,01:30,4.342975571
Thursday,11-12-2025,02:00,5.583825734
Thursday,11-12-2025,02:30,3.102125408
Thursday,11-12-2025,03:00,2.481700326
Thursday,11-12-2025,03:30,2.481700326
Thursday,11-12-2025,04:00,3.308933768
Thursday,11-12-2025,04:30,3.102125408
Thursday,11-12-2025,05:00,4.549783932
Thursday,11-12-2025,05:30,3.72255049
Thursday,11-12-2025,06:00,5.672457889
Thursday,11-12-2025,06:30,5.956080783
Thursday,11-12-2025,07:00,6.824675897
Thursday,11-12-2025,07:30,14.57998942
Thursday,11-12-2025,08:00,17.37190229
Thursday,11-12-2025,08:30,26.36806597
Thursday,11-12-2025,09:00,39.70720522
Thursday,11-12-2025,09:30,42.18890554
Thursday,11-12-2025,10:00,42.80933063
Thursday,11-12-2025,10:30,47.46251874
Thursday,11-12-2025,11:00,45.60124349
Thursday,11-12-2025,11:30,54.90761972
Thursday,11-12-2025,12:00,45.60124349
Thursday,11-12-2025,12:30,47.1523062
Thursday,11-12-2025,13:00,42.80933063
Thursday,11-12-2025,13:30,42.18890554
Thursday,11-12-2025,14:00,47.46251874
Thursday,11-12-2025,14:30,43.73996825
Thursday,11-12-2025,15:00,45.91145604
Thursday,11-12-2025,15:30,47.1523062
Thursday,11-12-2025,16:00,39.70720522
Thursday,11-12-2025,16:30,44.0501808
Thursday,11-12-2025,17:00,37.53571744
Thursday,11-12-2025,17:30,32.26210424
Thursday,11-12-2025,18:00,31.02125408
Thursday,11-12-2025,18:30,25.1272158
Thursday,11-12-2025,19:00,22.95572802
Thursday,11-12-2025,19:30,18.92296499
Thursday,11-12-2025,20:00,16.44126466
Thursday,11-12-2025,20:30,13.8266161
Thursday,11-12-2025,21:00,8.996163683
Thursday,11-12-2025,21:30,12.05397301
Thursday,11-12-2025,22:00,7.134888438
Thursday,11-12-2025,22:30,8.065526061
Thursday,11-12-2025,23:00,7.090572361
Thursday,11-12-2025,23:30,4.963400653
Friday,12-12-2025,00:00,6.736043743
Friday,12-12-2025,00:30,6.381515125
Friday,12-12-2025,01:00,6.204250816
Friday,12-12-2025,01:30,7.445100979
Friday,12-12-2025,02:00,4.13616721
Friday,12-12-2025,02:30,2.481700326
Friday,12-12-2025,03:00,4.963400653
Friday,12-12-2025,03:30,3.102125408
Friday,12-12-2025,04:00,4.963400653
Friday,12-12-2025,04:30,6.617867537
Friday,12-12-2025,05:00,3.102125408
Friday,12-12-2025,05:30,3.308933768
Friday,12-12-2025,06:00,3.102125408
Friday,12-12-2025,06:30,7.445100979
Friday,12-12-2025,07:00,8.065526061
Friday,12-12-2025,07:30,10.54722639
Friday,12-12-2025,08:00,16.13105212
Friday,12-12-2025,08:30,26.98849105
Friday,12-12-2025,09:00,43.73996825
Friday,12-12-2025,09:30,49.32379398
Friday,12-12-2025,10:00,40.01741776
Friday,12-12-2025,10:30,48.08294382
Friday,12-12-2025,11:00,49.94421907
Friday,12-12-2025,11:30,46.84209366
Friday,12-12-2025,12:00,52.73613193
Friday,12-12-2025,12:30,49.01358144
Friday,12-12-2025,13:00,44.36039334
Friday,12-12-2025,13:30,41.56848046
Friday,12-12-2025,14:00,46.22166858
Friday,12-12-2025,14:30,43.11954317
Friday,12-12-2025,15:00,48.08294382
Friday,12-12-2025,15:30,41.25826793
Friday,12-12-2025,16:00,40.94805539
Friday,12-12-2025,16:30,31.02125408
Friday,12-12-2025,17:00,32.26210424
Friday,12-12-2025,17:30,29.78040392
Friday,12-12-2025,18:00,24.81700326
Friday,12-12-2025,18:30,24.50679073
Friday,12-12-2025,19:00,16.44126466
Friday,12-12-2025,19:30,15.20041449
Friday,12-12-2025,20:00,11.78807655
Friday,12-12-2025,20:30,11.47786401
Friday,12-12-2025,21:00,8.685951142
Friday,12-12-2025,21:30,10.28132992
Friday,12-12-2025,22:00,7.134888438
Friday,12-12-2025,22:30,9.43046124
Friday,12-12-2025,23:00,4.342975571
Friday,12-12-2025,23:30,5.459740718
Saturday,13-12-2025,00:00,4.549783932
Saturday,13-12-2025,00:30,2.481700326
Saturday,13-12-2025,01:00,4.963400653
Saturday,13-12-2025,01:30,3.72255049
Saturday,13-12-2025,02:00,6.452420848
Saturday,13-12-2025,02:30,7.445100979
Saturday,13-12-2025,03:00,2.481700326
Saturday,13-12-2025,03:30,4.467060587
Saturday,13-12-2025,04:00,3.308933768
Saturday,13-12-2025,04:30,3.308933768
Saturday,13-12-2025,05:00,4.13616721
Saturday,13-12-2025,05:30,2.481700326
Saturday,13-12-2025,06:00,2.895317047
Saturday,13-12-2025,06:30,4.13616721
Saturday,13-12-2025,07:00,5.583825734
Saturday,13-12-2025,07:30,6.204250816
Saturday,13-12-2025,08:00,7.445100979
Saturday,13-12-2025,08:30,14.57998942
Saturday,13-12-2025,09:00,23.88636564
Saturday,13-12-2025,09:30,23.88636564
Saturday,13-12-2025,10:00,29.78040392
Saturday,13-12-2025,10:30,27.60891613
Saturday,13-12-2025,11:00,27.29870359
Saturday,13-12-2025,11:30,24.81700326
Saturday,13-12-2025,12:00,23.88636564
Saturday,13-12-2025,12:30,23.88636564
Saturday,13-12-2025,13:00,23.26594056
Saturday,13-12-2025,13:30,21.40466532
Saturday,13-12-2025,14:00,20.78424024
Saturday,13-12-2025,14:30,21.40466532
Saturday,13-12-2025,15:00,13.6493518
Saturday,13-12-2025,15:30,13.6493518
Saturday,13-12-2025,16:00,16.13105212
Saturday,13-12-2025,16:30,15.51062704
Saturday,13-12-2025,17:00,15.24473058
Saturday,13-12-2025,17:30,12.40850163
Saturday,13-12-2025,18:00,12.71871417
Saturday,13-12-2025,18:30,11.16765147
Saturday,13-12-2025,19:00,11.47786401
Saturday,13-12-2025,19:30,7.134888438
Saturday,13-12-2025,20:00,7.134888438
Saturday,13-12-2025,20:30,6.026986506
Saturday,13-12-2025,21:00,7.445100979
Saturday,13-12-2025,21:30,8.685951142
Saturday,13-12-2025,22:00,5.583825734
Saturday,13-12-2025,22:30,4.13616721
Saturday,13-12-2025,23:00,4.342975571
Saturday,13-12-2025,23:30,5.790634095
Sunday,14-12-2025,00:00,4.963400653
Sunday,14-12-2025,00:30,3.970720522
Sunday,14-12-2025,01:00,3.72255049
Sunday,14-12-2025,01:30,2.481700326
Sunday,14-12-2025,02:00,3.72255049
Sunday,14-12-2025,02:30,2.481700326
Sunday,14-12-2025,03:00,2.481700326
Sunday,14-12-2025,03:30,5.583825734
Sunday,14-12-2025,04:00,2.481700326
Sunday,14-12-2025,04:30,4.963400653
Sunday,14-12-2025,05:00,2.481700326
Sunday,14-12-2025,05:30,2.481700326
Sunday,14-12-2025,06:00,2.481700326
Sunday,14-12-2025,06:30,3.474380457
Sunday,14-12-2025,07:00,3.474380457
Sunday,14-12-2025,07:30,3.102125408
Sunday,14-12-2025,08:00,6.026986506
Sunday,14-12-2025,08:30,7.134888438
Sunday,14-12-2025,09:00,11.78807655
Sunday,14-12-2025,09:30,14.57998942
Sunday,14-12-2025,10:00,13.95956434
Sunday,14-12-2025,10:30,11.78807655
Sunday,14-12-2025,11:00,17.06168975
Sunday,14-12-2025,11:30,12.71871417
Sunday,14-12-2025,12:00,17.37190229
Sunday,14-12-2025,12:30,13.6493518
Sunday,14-12-2025,13:00,13.95956434
Sunday,14-12-2025,13:30,16.13105212
Sunday,14-12-2025,14:00,16.13105212
Sunday,14-12-2025,14:30,13.8266161
Sunday,14-12-2025,15:00,14.57998942
Sunday,14-12-2025,15:30,10.85743893
Sunday,14-12-2025,16:00,8.863215454
Sunday,14-12-2025,16:30,11.78807655
Sunday,14-12-2025,17:00,11.6994444
Sunday,14-12-2025,17:30,8.065526061
Sunday,14-12-2025,18:00,9.926801309
Sunday,14-12-2025,18:30,13.33913925
Sunday,14-12-2025,19:00,8.375738602
Sunday,14-12-2025,19:30,10.99038716
Sunday,14-12-2025,20:00,7.134888438
Sunday,14-12-2025,20:30,7.75531352
Sunday,14-12-2025,21:00,7.445100979
Sunday,14-12-2025,21:30,7.445100979
Sunday,14-12-2025,22:00,6.948760914
Sunday,14-12-2025,22:30,5.583825734
Sunday,14-12-2025,23:00,9.926801309
Sunday,14-12-2025,23:30,2.978040392
